temp,R0_med,HPD_high,HPD_low,greater_zero
5,0,0,0,0
5.1,0,0,0,0
5.2,0,0,0,0
5.3,0,0,0,0
5.4,0,0,0,0
5.5,0,0,0,0
5.6,0,0,0,0
5.7,0,0,0,0
5.8,0,0,0,0
5.9,0,0,0,0
6,0,0,0,0
6.1,0,0,0,0
6.2,0,0,0,0
6.3,0,0,0,0
6.4,0,0,0,0
6.5,0,0,0,0
6.6,0,0,0,0
6.7,0,0,0,0
6.8,0,0,0,0
6.9,0,0,0,0
7,0,0,0,0
7.1,0,0,0,0
7.2,0,0,0,0
7.3,0,0,0,0
7.4,0,0,0,0
7.5,0,0,0,0
7.6,0,0,0,0
7.7,0,0,0,0
7.8,0,0,0,0
7.9,0,0,0,0
8,0,0,0,0
8.1,0,0,0,0
8.2,0,0,0,0
8.3,0,0,0,0
8.4,0,0,0,0
8.5,0,0,0,0
8.6,0,0,0,0
8.7,0,0,0,0
8.8,0,0,0,0
8.9,0,0,0,0
9,0,0,0,0
9.1,0,0,0,0
9.2,0,0,0,0
9.3,0,0,0,0
9.4,0,0,0,0
9.5,0,0,0,0
9.6,0,0,0,0
9.7,0,0,0,0
9.8,0,0,0,0
9.9,0,0,0,0
10,0,0,0,0
10.1,0,0,0,0
10.2,0,0,0,0
10.3,0,0,0,0
10.4,0,0,0,0
10.5,0,0,0,0
10.6,0,0,0,0
10.7,0,0,0,0
10.8,0,0,0,0
10.9,0,0,0,0
11,0,0,0,0
11.1,0,0,0,0
11.2,0,0,0,0
11.3,0,0,0,0
11.4,0,0,0,0
11.5,0,0,0,0
11.6,0,0,0,0
11.7,0,0,0,0
11.8,0,0,0,0
11.9,0,0,0,0
12,0,0,0,0
12.1,0,0,0,0
12.2,0,0,0,0
12.3,0,0,0,0
12.4,0,0,0,0
12.5,0,0,0,0
12.6,0,0,0,0
12.7,0,0,0,0
12.8,0,0,0,0
12.9,0,0,0,0
13,0,0,0,0
13.1,0,0,0,0
13.2,0,0,0,0
13.3,0,0,0,0
13.4,0,0,0,0
13.5,0,0,0,0
13.6,0,0,0,0
13.7,0,0,0,0
13.8,0,0,0,0
13.9,0,0,0,0
14,0,0,0,0
14.1,0,0,0,0
14.2,0,0,0,0
14.3,0,0,0,0
14.4,0,0,0,0
14.5,0,0,0,0
14.6,0,0,0,0
14.7,0,0,0,0
14.8,0,0,0,0
14.9,0,0,0,0
15,0,0,0,0
15.1,0,0,0,0
15.2,0,0,0,4.00E-04
15.3,0,0,0,4.00E-04
15.4,0,0,0,6.00E-04
15.5,0,0,0,8.00E-04
15.6,0,0,0,0.0014
15.7,0,0,0,0.0024
15.8,0,0,0,0.0036
15.9,0,0,0,0.0044
16,0,0,0,0.0052
16.1,0,0,0,0.0066
16.2,0,0,0,0.008
16.3,0,0,0,0.0098
16.4,0,0,0,0.012
16.5,0,0,0,0.0158
16.6,0,0,0,0.0188
16.7,0,0,0,0.0232
16.8,0,5.16E-19,0,0.0278
16.9,0,5.79E-09,0,0.034
17,0,8.26E-07,0,0.0406
17.1,0,2.83E-05,0,0.0502
17.2,0,0.000162987,0,0.0628
17.3,0,0.000500779,0,0.076
17.4,0,0.001009619,0,0.0882
17.5,0,0.002017097,0,0.1026
17.6,0,0.003620384,0,0.1182
17.7,0,0.005981297,0,0.1368
17.8,0,0.008943765,0,0.1566
17.9,0,0.012347003,0,0.1724
18,0,0.017110347,0,0.1938
18.1,0,0.023793819,0,0.2126
18.2,0,0.031350667,0,0.228
