temp,R0_med,HPD_high,HPD_low,greater_zero
5,0,0,0,0
5.1,0,0,0,0
5.2,0,0,0,0
5.3,0,0,0,0
5.4,0,0,0,0
5.5,0,0,0,0
5.6,0,0,0,0
5.7,0,0,0,0
5.8,0,0,0,0
5.9,0,0,0,0
6,0,0,0,0
6.1,0,0,0,0
6.2,0,0,0,0
6.3,0,0,0,0
6.4,0,0,0,0
6.5,0,0,0,0
6.6,0,0,0,0
6.7,0,0,0,0
6.8,0,0,0,0
6.9,0,0,0,0
7,0,0,0,0
7.1,0,0,0,0
7.2,0,0,0,0
7.3,0,0,0,0
7.4,0,0,0,0
7.5,0,0,0,0
7.6,0,0,0,0
7.7,0,0,0,0
7.8,0,0,0,0
7.9,0,0,0,0
8,0,0,0,0
8.1,0,0,0,0
8.2,0,0,0,0
8.3,0,0,0,0
8.4,0,0,0,0
8.5,0,0,0,0
8.6,0,0,0,0
8.7,0,0,0,0
8.8,0,0,0,0
8.9,0,0,0,0
9,0,0,0,0
9.1,0,0,0,0
9.2,0,0,0,0
9.3,0,0,0,0
9.4,0,0,0,0
9.5,0,0,0,0
9.6,0,0,0,0
9.7,0,0,0,0
9.8,0,0,0,0
9.9,0,0,0,0
10,0,0,0,0
10.1,0,0,0,0
10.2,0,0,0,0
10.3,0,0,0,0
10.4,0,0,0,0
10.5,0,0,0,0
10.6,0,0,0,0
10.7,0,0,0,0
10.8,0,0,0,0
10.9,0,0,0,0
11,0,0,0,0
11.1,0,0,0,0
11.2,0,0,0,0
11.3,0,0,0,0
11.4,0,0,0,0
11.5,0,0,0,0
11.6,0,0,0,0
11.7,0,0,0,0
11.8,0,0,0,0
11.9,0,0,0,0
12,0,0,0,0
12.1,0,0,0,0
12.2,0,0,0,0
12.3,0,0,0,0
12.4,0,0,0,0
12.5,0,0,0,0
12.6,0,0,0,0
12.7,0,0,0,0
12.8,0,0,0,0
12.9,0,0,0,0
13,0,0,0,0
13.1,0,0,0,0
13.2,0,0,0,0
13.3,0,0,0,0
13.4,0,0,0,0
13.5,0,0,0,0
13.6,0,0,0,0
13.7,0,0,0,0
13.8,0,0,0,0
13.9,0,0,0,0
14,0,0,0,0
14.1,0,0,0,0
14.2,0,0,0,0
14.3,0,0,0,2.00E-04
14.4,0,0,0,6.00E-04
14.5,0,0,0,0.0012
14.6,0,0,0,0.0028
14.7,0,0,0,0.0036
14.8,0,0,0,0.0106
14.9,0,0,0,0.0176
15,0,3.92E-19,0,0.0326
15.1,0,1.89E-08,0,0.0558
15.2,0,3.14E-06,0,0.0914
15.3,0,4.94E-05,0,0.1434
15.4,0,0.000174615,0,0.2066
15.5,0,0.000460343,0,0.2872
15.6,0,0.000967371,0,0.3798
15.7,0,0.001631231,0,0.4702
15.8,3.27E-19,0.002706821,0,0.5586
15.9,6.48E-10,0.004068846,0,0.6492
16,2.73E-07,0.006015705,0,0.7368
16.1,5.15E-06,0.008326506,0,0.803
16.2,3.21E-05,0.011156704,0,0.8544
16.3,0.000103648,0.01553559,0,0.8884
16.4,0.0002758,0.019823134,0,0.9204
16.5,0.000607671,0.02484137,0,0.9442
16.6,0.001129815,0.031138429,0,0.962
16.7,0.001921611,0.038237853,0,0.9734
16.8,0.003051317,0.047276253,3.53E-18,0.9826
16.9,0.004513416,0.057117339,2.10E-09,0.9884
17,0.006454095,0.068965186,7.51E-07,0.9936
17.1,0.008748426,0.080378267,1.24E-05,0.9956
17.2,0.011583058,0.093364709,8.89E-05,0.997
